regulator,target,weight
ihfA,hypD,1
ihfA,hypE,1
ihfA,ilvA,1
ihfA,ilvD,1
ihfA,ilvE,-1
ihfA,ilvM,1
ihfA,narG,1
ihfA,narH,1
ihfA,narI,1
ihfA,narJ,1
ihfA,narK,1
ihfA,ndh,-1
ihfA,nirB,-1
ihfA,nirC,1
ihfA,nirD,1
ihfA,ompC,-1
ihfA,sgbE,1
ihfA,ssuB,1
ihfA,prmC,1
ihfA,norW,-1
ihfA,caiE,-1
ihfA,dppB,1
ihfA,dppC,1
ihfA,dppD,1
ihfA,dppF,1
ihfA,glcB,1
ihfA,hpt,-1
ihfA,micF,-1
ihfA,glcF,1
ihfA,ssuC,1
ihfA,ssuD,-1
ihfA,ssuA,1
ihfA,ssuE,-1
ihfA,sufE,1
ihfA,sufS,1
ihfA,sufD,1
ihfA,sufC,1
ihfA,sufB,1
ihfA,norV,-1
ihfA,hycI,1
ihfA,glcA,1
ihfA,glcG,1
ihfA,glcE,1
ihfA,glcD,1
ihfA,ygjG,-1
ihfA,tdcG,1
ihfA,tdcF,1
ihfA,tdcE,1
ihfA,dcuD,1
ihfA,ilvX,-1
ihfA,osmE,-1
ihfA,aceA,1
ihfA,aceB,1
ihfA,aceK,1
ihfA,sufA,1
ihfA,osmY,-1
ihfA,dps,1
ihfA,acs,-1
ihfA,sra,1
